Flow Size,fecmp,letflow,conweave
1.8K,1.3752178686809275,1.3772140675038202,1.2161306551834055
3.5K,1.396646053233929,1.3848629313666911,1.2335888044657117
4.6K,1.3884522034009104,1.4106019241246421,1.2441271043062219
5.5K,1.4199589765221445,1.4071405720550179,1.2596209269537504
6.3K,1.4172444346347537,1.4213639824596398,1.2723796019138753
7.2K,1.432311233405268,1.4255057420940735,1.27857379585327
8.6K,1.4302022509973238,1.443465259101782,1.287504981180224
16K,1.4800466350555952,1.4843692007706664,1.3448860931419457
31K,1.562878229023613,1.5494687822216238,1.441562811483256
2.0M,3.665731821332795,3.708249732261496,2.4845654724083053
