Flow Size,fecmp,letflow,conweave
1.8K,1.756363621270173,1.756677643571468,1.3228333926391087
3.5K,1.7724167305236247,1.759929052637887,1.3540203314146242
4.6K,1.7720487443399546,1.7666475926702143,1.350313685097967
5.5K,1.7912035556716535,1.7713769225702178,1.3659913279841867
6.3K,1.7939493550447048,1.7681125516497906,1.3687087289958713
7.2K,1.81279247823058,1.796513339122099,1.379006983370159
8.6K,1.7783158473149496,1.800042981615668,1.3913164780788454
16K,1.8157206107047485,1.8289288029223356,1.436743182928252
31K,1.8621934511784548,1.8723902215701473,1.5204584381904895
2.0M,4.390773349007309,4.392366569854497,3.0171043583929276
