Flow Size,fecmp,letflow,conweave
1.8K,6.224604661923908,6.000582171678701,2.239739464840189
3.5K,6.21963910114446,6.040633960540496,2.2258331614513533
4.6K,6.062253622022888,6.133890985281077,2.244620966210045
5.5K,6.252298415094354,5.9547083257201106,2.2594750870571114
6.3K,6.258704098360653,5.978224855674664,2.302412341552521
7.2K,6.255170934735531,5.958159897855597,2.2810120991111473
8.6K,6.279816296937822,5.9708138913912245,2.303000900456626
16K,6.405278583359116,5.979075731506167,2.367930691586511
31K,6.301128147231678,5.908741148331452,2.4448121156773075
2.0M,12.725948124458773,11.966419909281244,5.528272072933151
