Flow Size,fecmp,letflow,conweave
1.8K,1.04835883121596,1.0485436770150869,1.0329235500183807
3.5K,1.0538813421052577,1.0580366904015899,1.044231662375868
4.6K,1.061546380217788,1.062733731130736,1.0480619915410043
5.5K,1.0655328321234088,1.068780702553878,1.0545087973519665
6.3K,1.0709172389075379,1.070660409190167,1.0580721285399044
7.2K,1.0765509482758642,1.0750340064558965,1.0599833265906629
8.6K,1.0760918539019944,1.0764176986613512,1.0640998832291269
16K,1.098239979128858,1.101945821703218,1.0883429845531474
31K,1.1441957876588045,1.1456606987562914,1.1313675321809578
2.0M,1.6856490699573488,1.7070774083918725,1.4291384966899614
