Flow Size,fecmp,letflow,conweave
1.8K,1.0946099336119866,1.0946993109201575,1.0547512128588048
3.5K,1.0977558716498588,1.0962021723533815,1.067911269934532
4.6K,1.1050737688524628,1.1017589630432993,1.0729466107100871
5.5K,1.1085680944184861,1.1036804512846141,1.0763958897095829
6.3K,1.1131370928612365,1.1098095136803459,1.0780358250797353
7.2K,1.1131738209982849,1.1119206740635725,1.084355802417334
8.6K,1.1133064716006797,1.1097715875531804,1.0886460592580132
16K,1.1328530368852434,1.1350357820972712,1.1137280426389113
31K,1.1738534677485468,1.1753438530196854,1.1482483548766222
2.0M,2.14073694615195,2.14011818651985,1.7878626246432716
