Flow Size,fecmp,letflow,conweave
1.8K,7.931048808064632,8.088329041782055,7.603440701520036
3.5K,8.087042665101078,8.245977281513355,7.735377013738709
4.6K,8.396175988888226,8.54756514674686,7.880513578833552
5.5K,8.410080037802869,8.484410163828194,7.860856959867722
6.3K,8.565604924107893,8.735771739053561,7.84252120778477
7.2K,8.505505621742351,8.630905880134366,7.8911137581886885
8.6K,8.757453401111173,8.810412518710613,7.9901978024424505
16K,9.196784419497114,9.417432334983493,8.29410079437765
31K,10.513365226530778,10.842217762979555,8.51967058004199
2.0M,26.773839636863535,28.03520017207854,21.390275156140724
