Flow Size,fecmp,letflow,conweave
1.8K,7.826668254621406,6.946940095751844,5.125337881031066
3.5K,7.898734661631047,6.843907583277119,5.180214900859226
4.6K,8.070739236627192,7.1471687902083625,5.205191375413084
5.5K,7.846129491494206,7.118708609481415,5.1887207997356155
6.3K,7.857671537091636,7.068976081591378,5.176933769993406
7.2K,7.901352092366285,6.950422971004702,5.208781855131858
8.6K,7.946468015843775,7.083318572488215,5.175760362831269
16K,7.598804679727315,6.9404795191854,5.135091038926725
31K,7.220899926303511,6.53881991165956,5.045388394025513
2.0M,16.603925684721247,15.742709939986497,14.179991791685948
