Flow Size,fecmp,letflow,conweave
1.8K,33.5096,24.3397,20.7295
3.5K,33.9541,23.2215,20.3777
4.6K,36.304,27.2202,20.2346
5.5K,35.0506,27.2599,20.3489
6.3K,35.1422,26.765,20.2759
7.2K,35.3924,26.9758,19.8985
8.6K,35.2251,26.8109,19.7519
16K,33.8959,25.6709,20.0727
31K,32.5157,23.1369,18.5992
2.0M,97.5518,85.6187,69.2483
