Flow Size,fecmp,letflow,conweave
1.8K,36.9579,38.2205,32.417
3.5K,36.9165,38.9345,32.7546
4.6K,36.4336,38.856,32.149
5.5K,36.1322,35.7491,32.5633
6.3K,35.2461,36.5493,32.2155
7.2K,36.3668,37.2024,31.8354
8.6K,35.6814,37.2343,32.5388
16K,35.4871,37.7727,32.0798
31K,44.7225,46.251,33.8981
2.0M,121.667,125.419,118.912
