Flow Size,fecmp,letflow,conweave
1.8K,4.550820371307387,4.452217934640519,1.7706260252063593
3.5K,4.552130337103731,4.469289089580936,1.8025937617924577
4.6K,4.441594129027456,4.39981886188865,1.8140851790978842
5.5K,4.459598153136387,4.386323681660893,1.8325595400943373
6.3K,4.411781567080876,4.359949034217602,1.8394000140025133
7.2K,4.490889501450986,4.491441964780056,1.8668726628832595
8.6K,4.371070903408245,4.4025708935024905,1.859621280955191
16K,4.416435146216227,4.370828524413697,1.9090680763561247
31K,4.347126668650941,4.297630302214714,2.0168892460200536
2.0M,8.827229547585384,8.62725473048828,4.422917301938246
