Flow Size,fecmp,letflow,conweave
1.8K,2.2950509260419856,2.2730160903554926,1.517041414496833
3.5K,2.3385765057975605,2.24343945111916,1.530326921573224
4.6K,2.3445312119075594,2.2902715247264043,1.5449656016889473
5.5K,2.315769993732379,2.3131394996708377,1.5636121792165159
6.3K,2.30988711845817,2.269979039664246,1.5671770458988166
7.2K,2.351553645906781,2.3142535497408057,1.5942534553131584
8.6K,2.3561873072704484,2.346686947827521,1.60616195245915
16K,2.370268397837661,2.3305549506254204,1.6833610383923734
31K,2.4465800814727823,2.399580408952529,1.8022717397763643
2.0M,7.82649236114376,7.391286386077505,3.784257780905459
