Flow Size,fecmp,letflow,conweave
1.8K,1.56902,1.65778,1.4555
3.5K,1.62601,1.67512,1.45568
4.6K,1.60955,1.68938,1.50662
5.5K,1.6996,1.61221,1.50006
6.3K,1.55709,1.67587,1.49259
7.2K,1.64548,1.68775,1.52325
8.6K,1.65651,1.61812,1.38877
16K,1.67972,1.69602,1.52478
31K,1.72105,1.67011,1.61623
2.0M,6.97849,6.9749,5.2725
