Flow Size,fecmp,letflow,conweave
1.8K,1.29818,1.20261,1.20428
3.5K,1.36933,1.28332,1.17998
4.6K,1.33897,1.3644,1.24205
5.5K,1.44467,1.37596,1.18489
6.3K,1.37534,1.36047,1.33405
7.2K,1.38065,1.30795,1.27384
8.6K,1.33712,1.29731,1.26657
16K,1.49674,1.52427,1.37166
31K,1.53819,1.47253,1.48867
2.0M,4.25253,4.32481,3.05863
