Flow Size,fecmp,letflow,conweave
1.8K,1.0106495809806775,1.0130029266764065,1.0084687957118506
3.5K,1.0158420279373832,1.0145117589304358,1.0130072968640367
4.6K,1.0191567726597375,1.0188114842281217,1.016064956417193
5.5K,1.0206304665676018,1.0223898997389,1.0187054934375337
6.3K,1.0250270846953917,1.0235429535248033,1.022370136245243
7.2K,1.025741517582969,1.0264670022978943,1.0224070233443554
8.6K,1.0275378611056072,1.0269592009609316,1.0246685883178022
16K,1.0392028637939545,1.0365956214748304,1.0376481875563626
31K,1.061410224863795,1.0612430349869455,1.0572581635106721
2.0M,1.2867824279346218,1.3001796845952982,1.1973636736125062
