Flow Size,fecmp,letflow,conweave
1.8K,1.25702,1.36112,1.22377
3.5K,1.33217,1.2795,1.23792
4.6K,1.41531,1.35802,1.27258
5.5K,1.3485,1.3709,1.26967
6.3K,1.48847,1.44006,1.32356
7.2K,1.4002,1.47288,1.26272
8.6K,1.42895,1.42683,1.29509
16K,1.47677,1.40015,1.38865
31K,1.60273,1.52798,1.46136
2.0M,4.30602,4.62884,3.08144
