Flow Size,fecmp,letflow,conweave
1.8K,1.023283738588089,1.023654608139329,1.018326629572203
3.5K,1.0280145656693496,1.0241910316331926,1.0203224090121275
4.6K,1.0310804835939644,1.0296023333925712,1.025466744504246
5.5K,1.0318376724215848,1.035550487826547,1.0265007561798747
6.3K,1.0369397369610378,1.0352267469344247,1.0294088826051229
7.2K,1.0375632125101686,1.0369947334281182,1.0300721490467966
8.6K,1.0386678976861914,1.0379642833022322,1.0310205655386278
16K,1.0500354912772292,1.0475220810378496,1.044981962966342
31K,1.071552771400158,1.0682736120490495,1.0650519428988414
2.0M,1.5626115853217626,1.549377812333392,1.3922382094317245
