Flow Size,fecmp,letflow,conweave
1.8K,8.82905,9.41409,3.98127
3.5K,8.80892,9.11747,4.04117
4.6K,8.88467,9.24359,4.06398
5.5K,8.28356,8.95325,4.15616
6.3K,8.57001,8.92904,4.06285
7.2K,8.59733,9.17678,4.18545
8.6K,8.44955,8.87536,4.01941
16K,8.16266,8.70269,3.8218
31K,7.73616,7.89653,3.90635
2.0M,17.4326,19.0876,9.44897
