Flow Size,fecmp,letflow,conweave
1.8K,1.728257169129717,1.7358171854485773,1.2991773675131049
3.5K,1.7583150055829269,1.748773471690376,1.3344707169472816
4.6K,1.7481106023384096,1.7482522791301929,1.3433478457079746
5.5K,1.7351102016552853,1.7549646492067819,1.351243880071761
6.3K,1.741767943513955,1.7496150300875357,1.3592121108197655
7.2K,1.7626996000000015,1.7714934094638906,1.3717448916643649
8.6K,1.750287351724136,1.753628116110502,1.371754499723987
16K,1.8068087040199732,1.7827303548960556,1.419873674441073
31K,1.838347506568583,1.8381365713894966,1.5135768078940117
2.0M,4.243067307060747,4.290003414250543,2.963707568313547
