Flow Size,fecmp,letflow,conweave
1.8K,4.60073,4.85243,2.94536
3.5K,4.60215,4.90579,2.95262
4.6K,4.62553,4.8187,2.94229
5.5K,4.57446,4.78465,2.94266
6.3K,4.47435,4.85401,2.97591
7.2K,4.57284,4.88138,2.93047
8.6K,4.59369,4.81218,3.01918
16K,4.51206,4.67274,2.99947
31K,4.33042,4.55763,3.03459
2.0M,15.2729,16.3971,7.82618
