Flow Size,fecmp,letflow,conweave
1.8K,4.06146,4.02913,2.87622
3.5K,4.42054,3.96493,2.69928
4.6K,4.24661,3.79646,2.85798
5.5K,3.92278,3.91659,2.79495
6.3K,4.30378,4.07184,2.87111
7.2K,4.13727,4.13582,2.66405
8.6K,4.23984,4.32895,2.86183
16K,3.85583,4.00734,2.98222
31K,3.77465,3.77548,2.86382
2.0M,10.2579,10.2824,7.80504
