Flow Size,fecmp,letflow,conweave
1.8K,1.1148523777435455,1.106850498993964,1.0784511126213665
3.5K,1.1309488544474386,1.1266657062374263,1.092261106796114
4.6K,1.1296369420373569,1.1312264185110639,1.095048551456312
5.5K,1.1315512478336256,1.1307075633802812,1.1046003980582535
6.3K,1.143809638043895,1.140713800804831,1.11305752621359
7.2K,1.1564853715825936,1.143620460764586,1.1164028485436917
8.6K,1.1611978398151703,1.1536798289738444,1.1241439623374114
16K,1.1815303755054882,1.1804958289738425,1.1513057009708743
31K,1.2457780281147675,1.2408041167002026,1.2201491766990336
2.0M,2.1903645514054655,2.151209064386315,1.7407979829159346
