Flow Size,fecmp,letflow,conweave
1.8K,3.505590623755809,3.365344104878413,1.8476388994335358
3.5K,3.4981853601710453,3.3959030799641856,1.8848545817700268
4.6K,3.52054367322865,3.3918546132040364,1.9071648554403073
5.5K,3.5131763466784554,3.3875406616934014,1.9062500242772047
6.3K,3.510052132271626,3.3911441488885536,1.9210893298021006
7.2K,3.4913883565582786,3.38438421602267,1.9333954005738216
8.6K,3.476098515924502,3.405947594360742,1.9430619362907338
16K,3.4244071636068645,3.3977878612457992,2.0254392783050044
31K,3.4208932610779366,3.3645389377098196,2.1685079401162377
2.0M,10.515560781480387,10.613513000149212,5.344747138232906
