Flow Size,fecmp,letflow,conweave
1.8K,6.520607126428913,6.2077185584378896,2.723950181442997
3.5K,6.4615751173934,6.180882361483144,2.7362015860253277
4.6K,6.496185458963662,6.305501419004633,2.7677636917384083
5.5K,6.709288759069134,6.3151013893979995,2.7613411647929427
6.3K,6.650477936344974,6.369336156774299,2.7699808125800454
7.2K,6.562519578342106,6.368020865642186,2.7550633003629
8.6K,6.50420371825585,6.338414527703354,2.771455310943513
16K,6.624611325894955,6.3536497701959656,2.8272471687775704
31K,6.798660197809713,6.322851473988459,2.8737391660143907
2.0M,14.033627518822732,13.161197974058911,6.586523268108707
