Flow Size,fecmp,letflow,conweave
1.8K,2.5656476761858094,2.4387673520133673,1.4760520980156397
3.5K,2.5693581517342707,2.4204136240489986,1.5104986319903735
4.6K,2.5921643338644453,2.4763175870600613,1.507232844257369
5.5K,2.5923445851207183,2.4054192305313307,1.5237016416115459
6.3K,2.592163543326386,2.465264998762987,1.547738312086583
7.2K,2.620300055153811,2.435766285643594,1.5384779735417913
8.6K,2.5382267238632257,2.4416247708294634,1.5513495971136495
16K,2.586337067655341,2.463176013484261,1.6039930529164188
31K,2.6388045943130254,2.508809086410589,1.7043243692122692
2.0M,5.726692201862991,5.5839921622958855,3.4762171377029443
