Flow Size,fecmp,letflow,conweave
1.8K,1.6787403806371533,1.6738944135823401,1.330414704232872
3.5K,1.6836199413914297,1.6875839382003355,1.340883952463608
4.6K,1.6970431547372724,1.7001336271646916,1.3631918113232722
5.5K,1.6945994745914632,1.7085224624787854,1.3793030751769308
6.3K,1.719189244242178,1.709285734465193,1.3907335369517364
7.2K,1.7150727497759033,1.7361907035653608,1.398015295099475
8.6K,1.7190676899737949,1.7234795246179901,1.4062376979569977
16K,1.7593803337240588,1.7629931110356512,1.465030640940044
31K,1.8541124403530551,1.838791085908315,1.5808491547603118
2.0M,5.093140772943518,5.016898531169363,2.9897360911943403
