Flow Size,fecmp,letflow,conweave
1.8K,3.48742,3.48293,2.45578
3.5K,3.48697,3.4878,2.57036
4.6K,3.47294,3.58255,2.48745
5.5K,3.50951,3.49641,2.5804
6.3K,3.39549,3.43728,2.48573
7.2K,3.54467,3.38518,2.52838
8.6K,3.34189,3.4342,2.49938
16K,3.36599,3.3077,2.56249
31K,3.42585,3.30772,2.68501
2.0M,11.7457,11.5549,6.39095
