Flow Size,fecmp,letflow,conweave
1.8K,1.2028162807962608,1.201853703602618,1.1310797443919232
3.5K,1.2166484140332468,1.222315485125549,1.1489967196964626
4.6K,1.2268063215294709,1.2345549495087382,1.1590612741312754
5.5K,1.232553905131069,1.2340287288482599,1.169857423284301
6.3K,1.2385128373406882,1.2411228814137631,1.1716054702789038
7.2K,1.2514062761973543,1.246815923575568,1.176900435998131
8.6K,1.2498655259181337,1.2515357850562934,1.1858866251747275
16K,1.2870147684120647,1.2837480034118043,1.2311027739315679
31K,1.3615978713619368,1.3632768024565032,1.3125312693869444
2.0M,2.7455299638681,2.679664332696503,1.9991524509085965
