Flow Size,fecmp,letflow,conweave
1.8K,1.3903089193846105,1.364183176080579,1.1944205036668851
3.5K,1.3958426695384667,1.3804972459518072,1.2089662036363724
4.6K,1.3947212572307683,1.3825110716562539,1.2243936244620917
5.5K,1.4004248326153874,1.3824417078923872,1.231167575151516
6.3K,1.4117329526153835,1.3987564968761865,1.2339776913752472
7.2K,1.4207280627692314,1.404600464745634,1.2407277260606049
8.6K,1.414013078769227,1.4027463846742323,1.2462523940844876
16K,1.4467619181538496,1.4396666333035808,1.2833621412121223
31K,1.4986440264615335,1.5043085955629178,1.36070246560398
2.0M,3.3669588319999963,3.3361550197628462,2.5116662842424167
