Flow Size,fecmp,letflow,conweave
1.8K,2.4216314586815972,2.514257732655286,1.4735574757348957
3.5K,2.4703903263318545,2.5330683966581846,1.5031910427065986
4.6K,2.4378462821631075,2.5067138074827513,1.5131243801996703
5.5K,2.477442674612981,2.5137546211405715,1.5110120098447044
6.3K,2.4357691401991395,2.54261959825644,1.5302016222961652
7.2K,2.427917841255999,2.549292600799128,1.547720567110366
8.6K,2.4319963405770824,2.523483526078747,1.5418781620909598
16K,2.4754829936768594,2.513432653105701,1.5965875873544044
31K,2.4675490957988084,2.53210222375591,1.7028882549916782
2.0M,5.655899624245949,5.678542161848044,3.48614488873484
