Flow Size,fecmp,letflow,conweave
1.8K,14.3531,15.2316,5.00651
3.5K,14.7702,15.8338,4.92116
4.6K,14.6837,15.4652,4.87257
5.5K,14.7069,15.17,4.66701
6.3K,14.1789,14.808,4.85073
7.2K,13.9844,15.4211,4.86295
8.6K,14.3469,15.304,4.59993
16K,13.4856,14.3744,4.5881
31K,12.4954,12.8999,4.62365
2.0M,27.9998,27.2033,11.2385
