Flow Size,fecmp,letflow,conweave
1.8K,1.6325446394158363,1.615977498289629,1.315647721091048
3.5K,1.653913717253832,1.6546101923223058,1.3369781505954672
4.6K,1.6582012149954806,1.6584643195986009,1.3647272616212056
5.5K,1.658169108702197,1.6517964728240246,1.3716644798709212
6.3K,1.6686579750075305,1.6675912740402887,1.3852299078057768
7.2K,1.6829416004215536,1.6929145978409623,1.3953756957356949
8.6K,1.6949507422463097,1.681999403268719,1.3945404079907864
16K,1.7379691267690358,1.7269039004180904,1.4673037602766106
31K,1.824411426528154,1.794287958035582,1.5799959181007917
2.0M,4.869122458596806,4.77689201064233,2.9290036316840853
