Flow Size,fecmp,letflow,conweave
1.8K,1.048197274182325,1.0457901109254992,1.0353381060455304
3.5K,1.0532147390396585,1.0558439472101502,1.041910426040204
4.6K,1.060007441196938,1.0612429657845501,1.0480904698387403
5.5K,1.0612796124138884,1.0635006301790904,1.051169775698451
6.3K,1.0643059842738787,1.0641798222519152,1.0553753653195217
7.2K,1.06959266736257,1.0695585466087631,1.0574445192116362
8.6K,1.0739479283228892,1.072619282325425,1.0613559871258857
16K,1.097072867780088,1.0982465570703026,1.0860099422655747
31K,1.135806307842182,1.1361614006950045,1.1264708288539382
2.0M,1.6248965416463697,1.6380640247243548,1.4151817167695313
