Flow Size,fecmp,letflow,conweave
1.8K,1.089844325018992,1.0834615778430587,1.0603941605120637
3.5K,1.0891747163969747,1.0929475302721399,1.0633504739044755
4.6K,1.0956735107190758,1.101166410886637,1.0685179782127043
5.5K,1.1000723085460533,1.103343946768976,1.072201778680448
6.3K,1.102714858928671,1.1034570211618007,1.07455661250615
7.2K,1.1001121222034047,1.1080860004795636,1.0801128064992664
8.6K,1.1104438211239651,1.1123715274863617,1.0860575567727193
16K,1.1289744517787208,1.1325491541781578,1.1066658874938422
31K,1.164603731526368,1.1646202787602626,1.1429315318808437
2.0M,2.06680387230562,2.0962393987531454,1.7491552033971265
