Flow Size,fecmp,letflow,conweave
1.8K,3.00756,2.99656,2.24305
3.5K,2.87165,3.00512,2.12764
4.6K,2.99425,3.06537,2.23291
5.5K,2.89707,2.91957,2.16992
6.3K,2.88124,2.92753,2.12041
7.2K,2.70898,2.95582,2.19328
8.6K,2.90724,2.89982,2.19765
16K,2.89773,2.81902,2.31921
31K,2.77784,2.74296,2.21126
2.0M,8.33913,8.55692,6.3062
