Flow Size,fecmp,letflow,conweave
1.8K,2.2271785405311353,2.208328334243588,1.475096543929574
3.5K,2.2367159144149413,2.2255673123369113,1.515299467610493
4.6K,2.2529381827670205,2.2567343586165016,1.529507698072795
5.5K,2.2544637376783014,2.2480156575034846,1.537584061031461
6.3K,2.264913862344881,2.255654687784446,1.5585645904467278
7.2K,2.2741747173421576,2.2575190940534067,1.5698469914346898
8.6K,2.2770187823969454,2.271605282480731,1.5838845446433873
16K,2.3015585841015858,2.296700114691423,1.6536310582356837
31K,2.3443346181944658,2.328183825242717,1.7809345187961
2.0M,7.521992161535341,7.4563613282766985,3.7076098399952655
