Flow Size,fecmp,letflow,conweave
1.8K,4.612489133606415,4.505259783196323,1.7567541148555048
3.5K,4.599153100274956,4.427283325824981,1.7733641223205743
4.6K,4.505863898771136,4.453699363667075,1.7979489586221657
5.5K,4.5249020268222795,4.5058545810338835,1.7935352970033112
6.3K,4.459008751543025,4.501277214776434,1.8179663469126561
7.2K,4.45932992144098,4.467507539275858,1.816266844939746
8.6K,4.41001294035126,4.464673045779616,1.8311721478084617
16K,4.424939682397177,4.378994154513205,1.8932706958515475
31K,4.389332761348949,4.326090453854388,1.9974225989122303
2.0M,8.769948220738396,8.975101306379875,4.328503369234877
