Flow Size,fecmp,letflow,conweave
1.8K,8.065128712928672,8.189366944692875,7.852512459677373
3.5K,8.425155083619497,8.500655540807681,8.061788618595818
4.6K,8.58450293671679,8.722218720169481,8.030001145690038
5.5K,8.645022801587675,8.865395104960932,8.134601780834913
6.3K,8.884730438389159,8.998501703459642,8.17098039041747
7.2K,8.975274974802636,8.966995518685891,8.242348690165539
8.6K,9.120620834411103,9.139152824193893,8.246833129506648
16K,9.887517229184331,9.968799618281116,8.528193808349119
31K,11.63995671721,11.622412346434452,9.004024762559942
2.0M,32.2662710725595,32.50386718346994,25.229956373339807
