Flow Size,fecmp,letflow,conweave
1.8K,8.574257677147363,7.48252923516215,5.671920443515972
3.5K,8.46496461624424,7.399337795849682,5.738391668005772
4.6K,8.456564613196496,7.7131320905567655,5.7465508613209
5.5K,8.50781364504495,7.734615097639314,5.767477225346835
6.3K,8.48630296134503,7.71619035386497,5.778181778349112
7.2K,8.508978490805692,7.698845300056067,5.661793910225511
8.6K,8.317584923295746,7.775758683459108,5.769275788740721
16K,8.136033081377645,7.497957897313002,5.667937251057906
31K,7.715551845981871,7.05755887364879,5.4670174208581335
2.0M,18.484160960024347,18.50130123795443,15.957486175478083
