Flow Size,fecmp,letflow,conweave
1.8K,7.545474986479164,7.60832817901667,5.825120303471356
3.5K,7.6507715008112385,7.507886919036279,5.827671105450841
4.6K,7.755032009870178,7.806545925199596,5.788875302379736
5.5K,7.840970473228784,7.828596607367989,5.813418018339266
6.3K,7.75102054150892,7.850918312788921,5.791503185357687
7.2K,7.861632326933471,7.941657000980535,5.814130997016223
8.6K,7.939913566792845,7.975253732315464,5.84611136608442
16K,8.049153283531647,8.149405339683407,5.813431423477165
31K,8.431225145348836,8.843286612270647,5.869213084200568
2.0M,19.47852611235044,18.99629251926037,12.359768586711322
