Flow Size,fecmp,letflow,conweave
1.8K,5.196893217391305,4.705418768639515,2.8372841334219934
3.5K,5.189238178334556,4.664689914681023,2.864663130171393
4.6K,5.130927343404564,4.756024221368176,2.833438766991728
5.5K,5.075653129467242,4.770005254419678,2.8861202245862767
6.3K,5.188889622724934,4.800918899308228,2.8519379151891218
7.2K,5.074018875460585,4.757520230591857,2.883055098256506
8.6K,5.117052198231385,4.796463173712527,2.9133112588652477
16K,4.998630932203381,4.69937760953112,2.93630917553191
31K,4.805990538648593,4.512068219830899,3.0542014273049647
2.0M,13.397960054528065,12.999909384319732,8.942168794326237
