Flow Size,fecmp,letflow,conweave
1.8K,7.910184614225737,7.759487704006578,6.811075332222081
3.5K,7.852424507693988,7.84280673480513,6.9273187619266485
4.6K,8.080410519208003,7.996931608067573,6.900140281066789
5.5K,8.253968533842688,7.954474433905729,7.000120380503512
6.3K,8.228968360593946,8.178679798855255,6.996022652603745
7.2K,8.165517816636207,8.142116865085866,7.01688123232555
8.6K,8.218354983588915,8.166904983647656,6.900844230371322
16K,8.666580690304512,8.557494399018802,7.021799156799617
31K,9.337731006133634,9.087635875715465,7.230264145878841
2.0M,22.54328410685469,22.525757552055033,16.80088901712845
