Flow Size,fecmp,letflow,conweave
1.8K,29.6594,19.4314,13.6631
3.5K,28.9731,18.6959,13.145
4.6K,28.1343,21.2357,13.1759
5.5K,27.7234,20.828,13.2231
6.3K,28.4888,20.6231,13.0556
7.2K,29.2683,20.0509,13.2649
8.6K,26.9702,21.0422,12.8244
16K,26.8669,19.8255,12.7749
31K,24.315,18.8399,11.6377
2.0M,85.3971,79.7039,50.1543
