Flow Size,fecmp,letflow,conweave
1.8K,5.727199865872674,5.132864173037464,3.200191556712961
3.5K,5.64298924033071,5.04956742121947,3.1598712228009203
4.6K,5.624065660770033,5.1708198850074565,3.21190636284722
5.5K,5.604191338382372,5.241959641369889,3.239537637152779
6.3K,5.624685638550031,5.156372320218796,3.2464204959490828
7.2K,5.623212150537635,5.111305607557965,3.2496003651620367
8.6K,5.55774303405214,5.182494342097076,3.212775489583322
16K,5.426112705671503,5.110531850447554,3.2697913414351825
31K,5.358248391143491,4.940617987444827,3.3376142563657343
2.0M,14.828018922996907,14.299797722667593,10.209456725115688
