Flow Size,fecmp,letflow,conweave
1.8K,1.1814831956797944,1.1912025508009754,1.109772859094963
3.5K,1.201695419313847,1.1963189791420312,1.1266157076785561
4.6K,1.2177847098686916,1.2137631948177585,1.1344399495453819
5.5K,1.2148527361287582,1.2118514331792272,1.1386131959846577
6.3K,1.2233030283778021,1.2170981147188487,1.1451817653860272
7.2K,1.2245195706268537,1.2235810439737673,1.153039080828244
8.6K,1.222060459021594,1.2201774061928872,1.151431314904344
16K,1.2513137388818296,1.2507367858294807,1.1841517558335124
31K,1.3012800037060483,1.3028606375658494,1.2399505591759499
2.0M,2.6956783804531983,2.710115936458447,2.1265947372293517
