Flow Size,fecmp,letflow,conweave
1.8K,1.102884955303196,1.1100458598047798,1.071369920828607
3.5K,1.118780640855284,1.1198967715603925,1.089480561938212
4.6K,1.1315691531259404,1.1313463797692942,1.0939951985237206
5.5K,1.1293703733011193,1.129113214433594,1.099830872075722
6.3K,1.142773209108478,1.1398112557671798,1.1040101970355345
7.2K,1.1449625024160393,1.1478669044661334,1.113598915411634
8.6K,1.1463254632761513,1.1428321921211428,1.116927868920767
16K,1.1798839414074398,1.1769747110322362,1.1529902910887584
31K,1.2379409260042302,1.238991568175105,1.2136198488005245
2.0M,2.1360934948055075,2.1369754264758067,1.6928546496815255
