Flow Size,fecmp,letflow,conweave
1.8K,1.3715244651810579,1.3711537002487553,1.1964404101293682
3.5K,1.3751894030266485,1.3889084292821685,1.1996350802826052
4.6K,1.4017102711234906,1.3962268567874916,1.2182122194696783
5.5K,1.3947172813370439,1.3805253722459148,1.2251170474355486
6.3K,1.4250692804753458,1.3989173276474793,1.2422776952013928
7.2K,1.4132164131847682,1.4092481760838687,1.2360897577759387
8.6K,1.4179110277597167,1.4280600444207534,1.2386998853105744
16K,1.4516220417827286,1.444565851990052,1.2967128369575196
31K,1.5024643676880194,1.4873293647832244,1.3634883328745777
2.0M,3.3561264515829543,3.3316839282224486,2.5095502275438037
