Flow Size,fecmp,letflow,conweave
1.8K,3.52402,3.61805,2.48078
3.5K,3.48111,3.53955,2.45804
4.6K,3.56806,3.55204,2.57932
5.5K,3.43734,3.45624,2.55658
6.3K,3.54246,3.56757,2.56475
7.2K,3.51227,3.64658,2.46011
8.6K,3.51508,3.52984,2.46063
16K,3.51927,3.42662,2.59527
31K,3.37457,3.48286,2.64
2.0M,11.8417,11.7052,6.24742
