Flow Size,fecmp,letflow,conweave
1.8K,1.206690782154186,1.2142675159976748,1.131743661786789
3.5K,1.2138138908072837,1.2215415668024072,1.1336921584084114
4.6K,1.2391064747059926,1.2347166676362218,1.1629010632507495
5.5K,1.2376494381183483,1.2383607494667417,1.1665755302177203
6.3K,1.2469789575361638,1.2435371291448503,1.1708324990615564
7.2K,1.248493826768716,1.2547883265464412,1.1767104410660647
8.6K,1.2566012132524491,1.258163510762073,1.1803412152777784
16K,1.2962276535374289,1.2968476808221838,1.2342713231981994
31K,1.3706489098376,1.3659620321892583,1.3132552364864811
2.0M,2.7115920307979464,2.7432882722513092,2.0269214085960954
